,Goals,Goals per match,Shots,Shots on target,Shooting accuracy %,Penalties scored,Big Chances Created,Hit woodwork,Passes,Passes per match,Pass accuracy %,Crosses,Cross accuracy %,Clean sheets,Goals Conceded,Goals conceded per match,Saves,Tackles,Tackle success %,Blocked shots,Interceptions,Clearances,Headed Clearance,Aerial Battles/Duels Won,Errors leading to goal,Own goals,Yellow cards,Red cards,Fouls,Offsides,fixtures,rank,points,performances
Arsenal,21,1.75,171,61,36,0,32,2,5230,435.83,85,215,22,4,12,1,34,203,64,48,83,236,120,755,0,0,29,3,79,23,"West Ham, Man Utd, Fulham, Everton, Crystal Palace, Ipswich, Brentford, Brighton, Spurs, Aston Villa, Wolves, Man City, Leicester, West Ham, Nott'm Forest, Man Utd, Chelsea, Fulham, Everton, Brentford, Ipswich, Crystal Palace, Bournemouth, Liverpool, Newcastle, Southampton",4,22,"L, D, L, D, W"
Aston Villa,19,1.58,153,48,31,0,34,4,5368,447.33,86,192,25,1,19,1.58,31,191,59,42,86,200,104,671,4,0,30,1,78,12,"Chelsea, Brentford, Southampton, Nott'm Forest, Man City, Newcastle, Brighton, Leicester, Everton, Arsenal, West Ham, Wolves, Ipswich, Chelsea, Crystal Palace, Brentford, Liverpool, Brighton, Nott'm Forest, Southampton, Newcastle, Man City, Fulham, Bournemouth, Spurs, Man Utd",8,19,"W, D, L, L, D"
Bournemouth,16,1.33,186,57,31,1,26,9,4553,379.42,80,275,21,1,17,1.42,47,227,57,55,109,274,128,753,2,0,34,0,79,29,"Wolves, Spurs, Ipswich, West Ham, Man Utd, Crystal Palace, Fulham, Everton, Chelsea, Newcastle, Nott'm Forest, Liverpool, Southampton, Wolves, Brighton, Spurs, Brentford, Ipswich, West Ham, Fulham, Crystal Palace, Man Utd, Arsenal, Aston Villa, Man City, Leicester",13,15,"W, D, W, L, L"
Brentford,22,1.83,132,61,46,2,28,2,5090,424.17,81,198,28,1,22,1.83,60,202,64,34,98,329,164,808,3,1,17,1,49,21,"Leicester, Aston Villa, Newcastle, Chelsea, Nott'm Forest, Brighton, Arsenal, Southampton, Man City, Liverpool, Crystal Palace, Spurs, West Ham, Leicester, Everton, Aston Villa, Bournemouth, Newcastle, Chelsea, Arsenal, Brighton, Nott'm Forest, Man Utd, Ipswich, Fulham, Wolves",11,17,"L, W, L, W, D"
Brighton & Hove Albion,21,1.75,165,56,34,0,23,2,5690,474.17,85,214,28,3,16,1.33,41,212,57,54,104,222,112,746,5,0,27,1,64,13,"Southampton, Fulham, Leicester, Crystal Palace, West Ham, Brentford, Aston Villa, Arsenal, Ipswich, Man Utd, Everton, Nott'm Forest, Chelsea, Southampton, Bournemouth, Fulham, Man City, Aston Villa, Crystal Palace, Leicester, Brentford, West Ham, Newcastle, Wolves, Liverpool, Spurs",5,22,"W, D, L, W, W"
Chelsea,23,1.92,170,63,37,1,31,8,6079,506.58,86,189,21,2,14,1.17,42,195,65,47,103,216,98,703,3,0,45,0,73,18,"Aston Villa, Southampton, Spurs, Brentford, Everton, Fulham, Ipswich, Crystal Palace, Bournemouth, Wolves, Man City, West Ham, Brighton, Aston Villa, Southampton, Leicester, Arsenal, Spurs, Brentford, Ipswich, Fulham, Everton, Liverpool, Newcastle, Man Utd, Nott'm Forest",3,22,"L, W, D, D, W"
Crystal Palace,10,0.83,171,60,35,1,19,5,4785,398.75,78,208,20,2,17,1.42,42,253,59,47,107,294,154,778,4,0,27,1,82,22,"Newcastle, Ipswich, Man City, Brighton, Arsenal, Bournemouth, Southampton, Chelsea, Leicester, West Ham, Brentford, Man Utd, Everton, Fulham, Aston Villa, Ipswich, Newcastle, Southampton, Brighton, Man City, Bournemouth, Arsenal, Nott'm Forest, Spurs, Wolves, Liverpool",18,8,"L, W, D, L, D"
Everton,10,0.83,158,48,30,0,17,6,4182,348.5,78,230,32,4,17,1.42,33,234,56,43,114,270,132,829,2,0,18,1,65,34,"Man Utd, Wolves, Liverpool, Arsenal, Chelsea, Man City, Nott'm Forest, Bournemouth, Aston Villa, Spurs, Brighton, Leicester, Crystal Palace, Man Utd, Brentford, Wolves, West Ham, Liverpool, Arsenal, Nott'm Forest, Man City, Chelsea, Ipswich, Fulham, Southampton, Newcastle",15,11,"W, D, L, D, D"
Fulham,17,1.42,182,63,35,1,26,3,5893,491.08,85,283,28,2,17,1.42,35,216,59,53,111,217,108,731,0,1,30,1,80,21,"Spurs, Brighton, Arsenal, Liverpool, Southampton, Chelsea, Bournemouth, Ipswich, West Ham, Leicester, Man Utd, Newcastle, Nott'm Forest, Crystal Palace, Wolves, Brighton, Spurs, Arsenal, Liverpool, Bournemouth, Chelsea, Southampton, Aston Villa, Everton, Brentford, Man City",10,18,"L, D, W, W, L"
Ipswich Town,12,1.09,108,33,31,0,20,3,3875,352.27,81,157,24,1,22,2,45,184,56,30,101,285,158,689,5,0,31,2,73,19,"Man Utd, Nott'm Forest, Crystal Palace, Bournemouth, Wolves, Newcastle, Arsenal, Chelsea, Fulham, Brighton, Man City, Liverpool, Southampton, Aston Villa, Spurs, Man Utd, Crystal Palace, Nott'm Forest, Bournemouth, Wolves, Chelsea, Arsenal, Newcastle, Everton, Brentford, Leicester, West Ham",19,8,"L, L, L, D, W"
Leicester City,15,1.25,117,38,32,2,18,2,4898,408.17,82,189,29,1,23,1.92,47,251,60,26,83,321,159,833,2,2,34,0,85,22,"Brentford, West Ham, Brighton, Newcastle, Wolves, Liverpool, Man City, Aston Villa, Crystal Palace, Fulham, Spurs, Everton, Arsenal, Brentford, West Ham, Chelsea, Man Utd, Leicester, Newcastle, Brighton, Liverpool, Wolves, Southampton, Nott'm Forest, Ipswich, Bournemouth",16,10,"W, L, D, L, L"
Liverpool,21,1.91,155,66,43,2,33,4,5937,539.73,86,162,26,6,6,0.55,31,186,66,39,87,185,98,668,1,0,21,0,71,13,"Southampton, Man City, Newcastle, Everton, Fulham, Spurs, Leicester, West Ham, Man Utd, Nott'm Forest, Brentford, Ipswich, Bournemouth, Wolves, Man City, Newcastle, Southampton, Aston Villa, Everton, Fulham, West Ham, Leicester, Spurs, Chelsea, Arsenal, Brighton, Crystal Palace",1,28,"W, W, D, W, W"
Manchester City,22,1.83,235,79,34,1,29,8,7616,634.67,91,266,24,2,17,1.42,28,157,58,72,73,151,73,604,4,1,27,0,49,11,"Liverpool, Nott'm Forest, Crystal Palace, Man Utd, Aston Villa, Everton, Leicester, West Ham, Brentford, Ipswich, Chelsea, Arsenal, Newcastle, Liverpool, Spurs, Nott'm Forest, Brighton, Leicester, Man Utd, Crystal Palace, Everton, Aston Villa, Wolves, Southampton, Bournemouth, Fulham",2,23,"W, W, L, L, L"
Manchester United,12,1.09,154,57,37,1,27,8,5436,494.18,84,182,25,5,12,1.09,28,255,62,42,120,189,99,700,4,0,33,1,72,21,"Ipswich, Everton, Arsenal, Nott'm Forest, Man City, Bournemouth, Wolves, Newcastle, Liverpool, Southampton, Brighton, Fulham, Crystal Palace, Spurs, Everton, Ipswich, Arsenal, Leicester, Nott'm Forest, Man City, Newcastle, Wolves, Bournemouth, Brentford, West Ham, Chelsea, Aston Villa",12,15,"D, W, L, D, W"
Newcastle United,13,1.18,139,46,33,1,18,2,4732,430.18,82,188,25,3,11,1,42,192,61,43,94,213,97,706,4,1,27,1,73,19,"West Ham, Crystal Palace, Liverpool, Brentford, Leicester, Ipswich, Aston Villa, Man Utd, Spurs, Wolves, Bournemouth, Southampton, Fulham, Man City, Nott'm Forest, Liverpool, West Ham, Crystal Palace, Brentford, Leicester, Man Utd, Aston Villa, Ipswich, Brighton, Chelsea, Arsenal, Everton",9,18,"D, L, L, W, W"
