,Name,TopScorer_Probability,Goals,Goals with right foot,Goals with left foot,Headed goals,Freekicks scored,Penalties scored,Shots on target,Big Chances Created,Offsides,Appearances,Height,Wins,Position,Goals
8,Erling Haaland,0.65,12,2,10,0,0.0,1.0,34.0,1,1,12,194.0,7,0,12
23,Mohamed Salah,0.15,10,0,10,0,0.0,3.0,25.0,6,4,12,175.0,10,0,10
127,Lucas Paquetá,0.04,2,1,1,0,0.0,1.0,4.0,2,1,13,180.0,4,1,2
135,Bruno Fernandes,0.04,2,2,0,0,0.0,1.0,7.0,8,1,12,179.0,4,1,2
133,Bryan Mbeumo,0.03,8,0,8,0,0.0,2.0,12.0,5,6,12,173.0,5,1,8
18,Jørgen Strand Larsen,0.02,4,3,1,0,0.0,0.0,11.0,3,5,12,193.0,2,0,4
79,Paul Onuachu,0.02,0,0,0,0,0.0,0.0,1.0,0,0,6,201.0,1,0,0
32,Jarrod Bowen,0.02,3,0,3,0,0.0,1.0,12.0,5,2,12,175.0,4,0,3
29,Jean-Philippe Mateta,0.02,3,2,1,0,0.0,1.0,8.0,2,5,12,192.0,1,0,3
16,Jordan Ayew,0.02,3,3,0,0,0.0,1.0,6.0,0,2,12,182.0,2,0,3
131,Ryan Gravenberch,0.01,0,0,0,0,0.0,0.0,2.0,2,0,12,190.0,10,1,0
15,Justin Kluivert,0.01,2,2,0,0,0.0,1.0,10.0,1,4,12,171.0,4,0,2
194,Sander Berge,0.01,0,0,0,0,0.0,0.0,0.0,0,0,9,195.0,4,1,0
185,Amadou Onana,0.01,2,0,1,1,0.0,0.0,4.0,0,0,10,195.0,5,1,2
19,Raúl Jiménez,0.01,4,2,2,0,0.0,1.0,12.0,5,8,12,190.0,5,0,4
12,Cody Gakpo,0.01,1,1,0,0,0.0,0.0,3.0,3,3,12,193.0,10,0,1
139,Dominik Szoboszlai,0.01,1,0,1,0,0.0,0.0,5.0,4,0,12,186.0,10,1,1
192,Eberechi Eze,0.0,1,1,0,0,0.0,0.0,12.0,3,1,9,178.0,1,1,1
191,Morgan Gibbs-White,0.0,1,1,0,0,0.0,0.0,8.0,2,2,9,171.0,4,1,1
190,Yoane Wissa,0.0,7,3,2,2,0.0,0.0,10.0,0,1,9,176.0,4,1,7
189,Facundo Buonanotte,0.0,3,1,2,0,0.0,0.0,7.0,5,1,10,174.0,2,1,3
193,Ross Barkley,0.0,2,1,0,1,0.0,0.0,3.0,0,0,9,189.0,4,1,2
188,John McGinn,0.0,0,0,0,0,0.0,0.0,0.0,3,1,10,178.0,5,1,0
187,Jack Hinshelwood,0.0,1,0,0,1,0.0,0.0,3.0,0,0,10,181.0,5,1,1
195,Tom Cairney,0.0,0,0,0,0,0.0,0.0,0.0,2,0,9,185.0,3,1,0
199,Carlos Soler,0.0,0,0,0,0,0.0,0.0,3.0,0,0,9,180.0,3,1,0
196,Yves Bissouma,0.0,2,2,0,0,0.0,0.0,2.0,0,0,9,182.0,5,1,2
197,Curtis Jones,0.0,1,1,0,0,0.0,0.0,4.0,0,0,9,185.0,7,1,1
198,Phil Foden,0.0,0,0,0,0,0.0,0.0,2.0,3,2,9,171.0,4,1,0
200,Christian Eriksen,0.0,0,0,0,0,0.0,0.0,0.0,2,0,9,182.0,3,1,0
201,Orel Mangala,0.0,0,0,0,0,0.0,0.0,1.0,0,0,9,178.0,2,1,0
202,Mats Wieffer,0.0,0,0,0,0,0.0,0.0,1.0,0,0,9,188.0,4,1,0
203,Jeffrey Schlupp,0.0,0,0,0,0,0.0,0.0,2.0,0,0,9,178.0,0,1,0
204,Jefferson Lerma,0.0,0,0,0,0,0.0,0.0,0.0,1,0,9,179.0,1,1,0
205,Sasa Lukic,0.0,0,0,0,0,0.0,0.0,0.0,1,0,8,183.0,3,1,0
206,Adam Wharton,0.0,0,0,0,0,0.0,0.0,5.0,1,0,8,182.0,1,1,0
207,Adam Lallana,0.0,0,0,0,0,0.0,0.0,0.0,1,0,8,172.0,1,1,0
208,Bilal El Khannouss,0.0,0,0,0,0,0.0,0.0,0.0,1,0,8,180.0,1,1,0
209,Mohammed Kudus,0.0,2,1,0,1,0.0,0.0,11.0,2,4,8,177.0,2,1,2
210,Matheus Nunes,0.0,0,0,0,0,0.0,0.0,0.0,2,0,8,183.0,6,1,0
186,Jacob Murphy,0.0,0,0,0,0,0.0,0.0,3.0,1,2,10,179.0,3,1,0
0,Callum Hudson-Odoi,0.0,2,2,0,0,0.0,0.0,8.0,2,6,13,182.0,6,0,2
184,Rodrigo Bentancur,0.0,1,0,0,1,0.0,0.0,3.0,0,0,10,187.0,4,1,1
183,Carlos Baleba,0.0,1,1,0,0,0.0,0.0,5.0,2,0,10,179.0,5,1,1
159,Vitaly Janelt,0.0,1,0,1,0,0.0,0.0,3.0,6,0,12,184.0,5,1,1
160,Jean-Ricner Bellegarde,0.0,1,1,0,0,0.0,0.0,2.0,0,1,11,170.0,2,1,1
161,Harry Winks,0.0,0,0,0,0,0.0,0.0,2.0,1,0,11,178.0,1,1,0
162,Will Hughes,0.0,0,0,0,0,0.0,0.0,1.0,0,0,11,185.0,1,1,0
163,Kai Havertz,0.0,4,0,2,1,0.0,0.0,10.0,1,7,11,193.0,5,1,4
164,Enzo Fernández,0.0,1,0,0,1,0.0,0.0,3.0,2,0,11,178.0,5,1,1
