name,position,country,link_profile_stats_2425
Max Aarons,Defender,England,https://www.premierleague.com/players/19970/Max-Aarons/stats?co=1&se=719
Zach Abbott,Defender,England,https://www.premierleague.com/players/117754/Zach-Abbott/stats?co=1&se=719
Josh Acheampong,Defender,England,https://www.premierleague.com/players/125075/Josh-Acheampong/stats?co=1&se=719
Adam Armstrong,Forward,England,https://www.premierleague.com/players/9199/Adam-Armstrong/stats?co=1&se=719
Tyler Adams,Midfielder,United States,https://www.premierleague.com/players/42894/Tyler-Adams/stats?co=1&se=719
Tosin Adarabioyo,Defender,England,https://www.premierleague.com/players/13549/Tosin-Adarabioyo/stats?co=1&se=719
Tayo Adaramola,Defender,Ireland,https://www.premierleague.com/players/72541/Tayo-Adaramola/stats?co=1&se=719
Valintino Adedokun,Defender,Ireland,https://www.premierleague.com/players/108693/Valintino-Adedokun/stats?co=1&se=719
Simon Adingra,Forward,Cote D’Ivoire,https://www.premierleague.com/players/126317/Simon-Adingra/stats?co=1&se=719
Adrián,Goalkeeper,Spain,https://www.premierleague.com/players/4852/Adrián/stats?co=1&se=719
Daniel Adu-Adjei,Forward,England,https://www.premierleague.com/players/128023/Daniel-Adu-Adjei/stats?co=1&se=719
Asher Agbinone,Midfielder,England,https://www.premierleague.com/players/125106/Asher-Agbinone/stats?co=1&se=719
Nayef Aguerd,Defender,Morocco,https://www.premierleague.com/players/108628/Nayef-Aguerd/stats?co=1&se=719
Brandon Aguilera,Midfielder,Costa Rica,https://www.premierleague.com/players/134486/Brandon-Aguilera/stats?co=1&se=719
Gassan Ahadme,Forward,Morocco,https://www.premierleague.com/players/63670/Gassan-Ahadme/stats?co=1&se=719
Naouirou Ahamada,Midfielder,France,https://www.premierleague.com/players/68086/Naouirou-Ahamada/stats?co=1&se=719
Ola Aina,Defender,Nigeria,https://www.premierleague.com/players/10439/Ola-Aina/stats?co=1&se=719
Rayan Aït-Nouri,Defender,Algeria,https://www.premierleague.com/players/71432/Rayan-Aït-Nouri/stats?co=1&se=719
